time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
1441,0.18900001,1.18305,10.39605,-0.122,0.123,0.646,0.299,1.047,9.745,-0.0308,0.105875,-0.042075,0.054731,-0.009632,0.102226,0.993207,0
1481,0.43800002,1.131,9.838051,0.123,0.059,0.09,0.312,1.071,9.742,0.08965,-0.146575,0.004675,0.056145,-0.010418,0.101872,0.993157,0
1522,0.22500001,1.1719501,9.526951,-0.114,0.069,-0.218,0.332,1.101,9.738,0.0650375,0.0237875,-0.0166375,0.05776,-0.011133,0.101648,0.993079,0
1561,0.393,1.1359501,9.85305,0.044,0.017,0.11,0.338,1.112,9.737,-0.0286,-0.0581625,0.005775,0.058273,-0.011398,0.101556,0.993056,0
1601,0.32595003,1.09695,9.66405,-0.03,-0.022,-0.08,0.344,1.112,9.737,0.0512875,-0.0198,0.005775,0.058319,-0.011713,0.101587,0.993046,0
1641,0.52395004,1.15695,9.441,0.141,0.016,-0.295,0.377,1.126,9.734,-0.0158125,-0.0507375,-0.061325,0.05922,-0.013332,0.101188,0.993013,0
1681,-0.112050004,1.0830001,9.832951,-0.457,-0.025,0.095,0.348,1.101,9.738,-0.08195,0.0738375,-0.0303875,0.057656,-0.012002,0.099747,0.993268,0
1721,0.462,1.0690501,10.066051,0.12,-0.013,0.323,0.329,1.076,9.741,-0.0072875,-0.0336875,0.0259875,0.056367,-0.011256,0.100065,0.993319,0
1761,0.13605,1.0879501,9.691951,-0.207,-0.01,-0.056,0.34,1.087,9.74,0.0565125,-0.0933625,0.0132,0.057026,-0.011727,0.100027,0.993279,0
1802,0.63000005,1.0519501,9.72795,0.261,-0.044,-0.026,0.378,1.093,9.738,-0.01375,0.0237875,-0.0198,0.057497,-0.013631,0.100227,0.993208,0
1841,-0.021000002,1.0519501,9.88605,-0.361,-0.034,0.134,0.347,1.082,9.74,-0.01485,0.022824999,-0.044275,0.056782,-0.012155,0.099286,0.993363,0
1881,0.41895002,1.04205,9.939,0.081,-0.053,0.187,0.34,1.075,9.741,0.0149875,0.0100375,0.025024999,0.056389,-0.011827,0.09932,0.993386,0
1921,0.26805001,1.18095,9.87705,-0.068,0.09,0.133,0.327,1.08,9.741,0.014025,0.06435,0.0281875,0.056685,-0.010987,0.099794,0.993331,0
1961,0.61995006,1.164,9.7879505,0.283,0.063,0.039,0.329,1.093,9.739,0.0385,-0.00495,0.0378125,0.057276,-0.011096,0.100604,0.993214,0
2001,0.42600003,1.176,9.529051,0.083,0.048,-0.203,0.337,1.108,9.737,-0.01375,0.038775,-0.0325875,0.058072,-0.011463,0.100577,0.993166,0
2042,0.33795002,1.0999501,9.970051,-0.013,-0.004,0.202,0.312,1.093,9.74,-0.0339625,0.061049998,-0.012375,0.05718,-0.010265,0.100195,0.99327,0
2081,0.33,1.1329501,9.438001,0.021,0.033,-0.301,0.305,1.096,9.74,0.02255,-0.013475,-0.00385,0.057282,-0.009886,0.100117,0.993276,0
2121,0.41205,1.0350001,9.91005,0.096,-0.046,0.16,0.311,1.081,9.741,-0.089375,0.0237875,-0.0133375,0.056444,-0.01031,0.099926,0.993339,0
