time(s),start,end,motion-pattern
3.38,0,3.38,init
41.57,3.38,44.95,walk
6.62,44.95,51.57,down
14.18,51.57,65.75,walk
7.01,65.75,72.76,up
23.35,72.76,96.11,walk
