time(s),start,end,motion-pattern
3.09,0,3.09,init
53.01,3.09,56.1,walk
9.45,56.1,65.55,down
17.39,65.55,82.94,walk
10.13,82.94,93.07,up
25.42,93.07,118.49,walk
