time(s),start,end,motion-pattern
3.33,0,3.33,init
6.99,3.33,10.32,stand
43.27,10.32,53.59,walk
6.42,53.59,60.01,down
13.25,60.01,73.26,walk
6.7,73.26,79.96,up
22.5,79.96,102.46,walk
