time(s),start,end,motion-pattern
3.52,0,3.52,init
6.33,3.52,9.85,stand
57.45,9.85,67.3,walk
7.32,67.3,74.62,down
17.05,74.62,91.67,walk
7.43,91.67,99.1,up
27.51,99.1,126.62,walk
