time(s),start,end,motion-pattern
3.54,0,3.54,init
6.91,3.54,10.45,stand
43.85,10.45,54.3,walk
6.38,54.3,60.68,down
13.41,60.68,74.09,walk
6.34,74.09,80.43,up
22.4,80.43,102.83,walk
