time(s),start,end,motion-pattern
3.31,0,3.31,init
6.84,3.31,10.15,stand
37.9,10.15,48.05,walk
5.1,48.05,53.15,down
12.94,53.15,66.09,walk
5.98,66.09,72.07,up
24.17,72.07,96.24,walk
