time(s),start,end,motion-pattern
3.82,0,3.82,init
6.57,3.82,10.39,stand
39.4,10.39,49.79,walk
5.92,49.79,55.71,down
13.29,55.71,69,walk
5.85,69,74.85,up
23.36,74.85,98.21,walk
