time(s),start,end,motion-pattern
3.2,0,3.2,init
7.15,3.21,10.36,stand
37.25,10.37,47.62,walk
5.33,47.63,52.96,down
10.39,52.97,63.36,walk
5.24,63.37,68.61,down
15.32,68.62,83.94,walk
6.07,83.95,90.02,up
6.25,90.03,96.28,walk
6.05,96.29,102.34,up
24.54,102.35,126.89,walk
