x,y,z,'20:76:93:4d:04:8a','bc:d1:77:1b:9b:ce','34:ce:00:42:20:73','50:fa:84:60:4d:36','dc:fe:18:c7:43:09','32:24:a9:f5:1f:81','bc:d1:77:1b:9b:d6','cc:08:fb:ad:22:7c','28:e4:24:30:f3:48','98:20:44:8c:68:e8','bc:d1:77:1b:b2:84','c4:a8:1d:89:6d:40','14:75:90:d1:84:32','8c:a6:df:ab:a7:b5','b4:0f:3b:89:53:e1','28:e4:24:2e:61:69','28:e4:24:2f:d0:e8','28:e4:24:30:ed:a9','38:d5:7a:5e:21:f4','48:0e:ec:5a:e4:4a','60:3a:7c:ee:eb:91','bc:d1:77:1b:9b:dc','28:e4:24:30:ed:a8','28:e4:24:30:f3:49','70:af:6a:4b:97:ab','98:20:44:1e:53:e8','00:0c:43:26:60:10','28:e4:24:30:db:29','98:20:44:1e:53:e9','d4:35:38:28:dd:0f','5c:02:14:6b:7a:4e','94:e9:ee:6f:cb:28','98:20:44:8c:68:e9','bc:d1:77:1b:9b:bc'
9,1,0,-76.48333333,-81.63636364,-60.13333333,-100,-66.35,-78,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-76,-100,-100,-100,-72.55,-53.96666667,-100,-100,-100,-100,-100,-100
9,0,0,-78.18333333,-75,-62.9,-100,-59.15,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-76,-100,-75,-100,-71,-100,-67.93333333,-51.11666667,-100,-100,-100,-100,-100,-100
9,-1,0,-77.46666667,-100,-68.25,-100,-63.08333333,-79,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-76,-100,-100,-73.45454545,-100,-76,-100,-69,-100,-65.7,-56.88333333,-100,-100,-100,-100,-100,-100
9,-2,0,-77,-100,-59.88333333,-100,-59.91666667,-84,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-71.83333333,-100,-71.95,-100,-100,-100,-73.88333333,-58.65,-100,-100,-100,-100,-100,-100
9,-3,0,-76.8,-100,-58.71666667,-100,-58.68333333,-82.57894737,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75.55,-100,-100,-71,-100,-75.11666667,-100,-100,-100,-71.96666667,-57.51666667,-100,-100,-100,-100,-100,-100
9,-4,0,-78,-100,-50.96666667,-100,-52.36666667,-78,-100,-100,-77,-100,-100,-79.63636364,-81,-100,-100,-100,-100,-81,-100,-100,-100,-100,-80,-100,-100,-100,-69.01666667,-59.73333333,-100,-100,-100,-100,-100,-100
9,-5,0,-79.5,-100,-59.63333333,-100,-51.63333333,-76.13636364,-100,-100,-100,-100,-100,-78,-81,-100,-100,-100,-100,-100,-100,-100,-68.71428571,-100,-75,-100,-66,-100,-73.25,-64.01666667,-100,-100,-100,-100,-100,-100
9,-6,0,-80.46666667,-100,-58.26666667,-100,-57.71666667,-84.81818182,-100,-100,-77,-100,-100,-78,-100,-100,-100,-100,-100,-77,-100,-100,-72.69767442,-100,-77,-100,-100,-100,-72.23333333,-62.28333333,-100,-100,-100,-100,-100,-100
9,-7,0,-79,-76,-67.11666667,-100,-63.68333333,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-75.70731707,-100,-100,-76,-100,-74.70731707,-100,-100,-100,-70.65,-62.66666667,-100,-100,-100,-100,-100,-100
9,-8,0,-77,-78.775,-59.7,-100,-63.73333333,-75.91666667,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-76,-100,-71.6,-100,-67,-100,-68.28333333,-60.76666667,-100,-100,-100,-100,-100,-100
9,-9,0,-77,-100,-61.13333333,-100,-63.18333333,-78,-100,-100,-78,-100,-100,-77.54545455,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-70.07142857,-100,-67,-100,-77.16666667,-63.35,-100,-100,-100,-100,-100,-100
9,-10,0,-76.63636364,-100,-63.41666667,-100,-64.51666667,-81.15,-100,-100,-73,-100,-100,-72.72727273,-100,-100,-100,-100,-100,-76.4,-100,-100,-78,-100,-75.6,-100,-76.13333333,-100,-75.68333333,-61.48333333,-100,-78,-100,-100,-100,-100
9,-11,0,-78.65909091,-100,-60.71666667,-100,-63.51666667,-75,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-71.93023256,-85,-100,-78,-100,-71.93023256,-100,-74.78571429,-100,-75.11666667,-65.55,-100,-100,-100,-100,-79,-78.27272727
9,-12,0,-72.13333333,-100,-66.86666667,-100,-55.38333333,-100,-100,-100,-73.39534884,-100,-100,-70.49122807,-100,-100,-100,-100,-100,-70.34883721,-100,-100,-78,-100,-67.74418605,-100,-74,-100,-82.25,-68.88333333,-100,-100,-100,-100,-79,-82
9,-13,0,-71.1,-72.45283019,-62.26415094,-100,-63.83333333,-74.45,-100,-100,-71.28333333,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-67.29166667,-100,-73,-100,-79.13333333,-68.33333333,-100,-100,-100,-100,-100,-100
8,-13,0,-68.66666667,-73.04545455,-60.16,-100,-63.80769231,-70.7,-100,-100,-70.39215686,-100,-100,-75,-100,-100,-100,-100,-100,-68.43333333,-100,-100,-100,-100,-68.28333333,-100,-73,-100,-76.71666667,-71.7,-100,-100,-100,-100,-100,-100
7,-13,0,-73,-100,-68.36363636,-100,-70.31666667,-70.63333333,-77,-100,-69.05,-100,-100,-69.29268293,-100,-100,-100,-100,-100,-64.1,-100,-100,-100,-100,-71.15,-100,-100,-100,-80.21666667,-77.81666667,-100,-100,-100,-80,-100,-100
6.5,-13,-0.25,-69.38095238,-69,-66.8,-100,-68.92857143,-71.15,-100,-100,-68.73333333,-100,-100,-65.26666667,-79.23809524,-100,-100,-100,-100,-65.7,-100,-100,-100,-100,-66.81666667,-100,-76,-100,-77,-100,-100,-100,-100,-100,-100,-100
6,-13,-0.5,-70.01666667,-100,-64.78333333,-100,-69.15217391,-77,-77,-100,-72,-100,-100,-69.8,-100,-100,-100,-100,-100,-67.15,-100,-100,-100,-100,-66.81666667,-100,-100,-100,-77.55,-73.21666667,-100,-100,-100,-100,-73,-78
5.5,-13,-0.75,-65.86666667,-79,-66.13333333,-100,-68.91666667,-68.21666667,-100,-100,-70,-100,-100,-61.40909091,-80,-100,-100,-100,-100,-68.68333333,-84,-100,-100,-100,-69.16666667,-100,-100,-100,-78,-75.73333333,-100,-100,-81,-100,-100,-100
5,-13,-1,-73.3,-69,-67.81034483,-100,-68.93103448,-76.11666667,-79.25925926,-100,-71.69767442,-100,-100,-62.2,-100,-100,-100,-100,-100,-72.75,-82,-100,-100,-100,-71.75,-100,-80,-100,-79.11666667,-70.01666667,-100,-77.61904762,-100,-100,-77,-78
4.5,-13,-1.25,-72.43333333,-72,-72.68085106,-100,-67.33333333,-72.56666667,-76.2,-100,-80,-100,-100,-62.10344828,-100,-100,-100,-100,-100,-73.47058824,-82.03333333,-100,-80,-100,-73.03333333,-100,-100,-100,-73.49056604,-79.57446809,-100,-78.48333333,-100,-100,-100,-100
4,-13,-1.5,-64.51666667,-75,-70.66666667,-100,-69.06666667,-68.58333333,-76.71666667,-100,-78,-100,-100,-64.36666667,-80,-100,-100,-100,-100,-69,-83,-100,-100,-100,-69.95,-100,-100,-100,-77.82926829,-74,-100,-79,-100,-100,-80,-100
3.5,-13,-1.75,-58.53333333,-71.04,-71.46666667,-100,-70.52727273,-74.75,-74.48333333,-100,-78,-100,-100,-65.1,-78.04878049,-100,-100,-100,-100,-69.83333333,-84,-100,-74,-80.4,-73.5,-100,-78,-76,-78.61818182,-74.73333333,-100,-77.16666667,-100,-100,-83,-79.0952381
3,-13,-2,-61.1,-72.23913043,-66.66666667,-100,-69,-69.83333333,-72.81666667,-100,-100,-100,-100,-67.75,-83,-100,-100,-100,-100,-78,-100,-100,-76,-79,-74.61666667,-100,-100,-100,-87,-77,-100,-78,-100,-80,-74,-78
2.5,-13,-2.25,-67,-72,-70.45,-100,-78,-66.03333333,-77.11666667,-100,-100,-100,-100,-64.63333333,-79,-100,-100,-100,-100,-76.58333333,-80,-100,-100,-100,-78.83333333,-100,-100,-100,-78,-100,-100,-73.71428571,-100,-100,-72.05,-100
2,-13,-2.5,-69.06666667,-76.68085106,-67.15909091,-100,-68.11666667,-67.23333333,-78.23404255,-100,-100,-100,-100,-68.44680851,-100,-100,-100,-100,-100,-74,-81,-100,-100,-78.53333333,-79.25,-100,-100,-74,-100,-100,-100,-77.34782609,-100,-100,-75.47727273,-82
1.5,-13,-2.75,-67.83333333,-69.25,-72.91666667,-100,-68.53333333,-76.5,-76.48333333,-100,-100,-100,-100,-66.31666667,-80.90566038,-100,-100,-100,-100,-76.61666667,-77.93333333,-100,-78.81666667,-81.45,-76.78333333,-100,-79,-76.83333333,-78.75,-82.01666667,-76.48148148,-77.76666667,-100,-100,-79.48333333,-86.63461538
1,-13,-3,-76.5,-76.41666667,-69,-100,-74.05,-76.21666667,-77.85,-100,-100,-100,-100,-70.09433962,-82,-100,-100,-100,-100,-75,-83.70588235,-100,-76,-82.09615385,-74,-100,-74,-68.78846154,-100,-79,-71.11538462,-78.63333333,-100,-100,-73.08333333,-82.89285714
0,-13,-3,-68.18333333,-68.41666667,-72.85,-100,-71.31666667,-73.18333333,-77.53333333,-100,-100,-100,-100,-68.1,-81.14893617,-100,-100,-100,-100,-80.2,-82.2,-100,-75.71111111,-81.96666667,-79.91666667,-100,-80.98333333,-77.06666667,-81,-80.56666667,-74.83333333,-77.08333333,-81,-85.66666667,-81.31666667,-79.51666667
-1,-13,-3,-62.85,-67.41666667,-68.46666667,-100,-70.66666667,-74.08333333,-78.23333333,-100,-100,-100,-100,-68.38333333,-78.09090909,-100,-100,-100,-100,-76,-82.13333333,-100,-76,-73.88333333,-78.66037736,-100,-78.97727273,-83.46153846,-79,-85.86046512,-81.41935484,-76.66666667,-81,-80,-80.13333333,-67.9
-1,-12,-3,-69.88333333,-72.03333333,-70.23333333,-100,-72.91666667,-77.45,-82.51666667,-100,-100,-100,-100,-72.4,-84,-100,-100,-100,-100,-77.7,-83.38333333,-100,-79,-76.63333333,-77.33333333,-100,-63,-80,-78.08333333,-85.92592593,-77.58333333,-75.13333333,-79.58333333,-100,-78.46666667,-72.35
-1,-11,-3,-74.83333333,-75.83333333,-72.65,-100,-74.55,-81.25,-80.4,-100,-80,-100,-100,-69.48333333,-77.07692308,-100,-100,-100,-100,-77.46666667,-82.95238095,-100,-76.94,-78.46666667,-76.41666667,-100,-72.63333333,-80.75,-78,-84.4375,-87,-77.01666667,-78.36842105,-88.35,-82.8,-81.36666667
-1,-10,-3,-73.01666667,-79.8,-73.7,-100,-74.48333333,-80.68333333,-79.875,-100,-84.96666667,-100,-100,-75.26666667,-83.73333333,-100,-100,-100,-100,-73.41666667,-85.63793103,-100,-79.6,-78.38333333,-73.6,-100,-74.93333333,-80.4,-83.76666667,-79.36666667,-80.03333333,-78.95,-79,-87.5,-77.98333333,-79.73333333
-1,-9,-3,-73.46666667,-78.21666667,-83,-100,-83,-71.26666667,-79,-100,-83,-100,-100,-77.56666667,-100,-100,-100,-100,-100,-75.15789474,-83,-100,-86,-79.56666667,-76.21666667,-100,-75.1509434,-83,-78.27777778,-79,-84,-83,-100,-89,-100,-78
0,-9,-3,-73.68333333,-74.85,-76.38333333,-100,-73.27272727,-78.11666667,-79.56666667,-100,-79,-100,-100,-74,-81,-100,-100,-100,-100,-75,-81,-100,-79,-100,-72.91666667,-100,-75.73333333,-100,-100,-78,-100,-79.85714286,-79,-100,-100,-79
