time(s),start,end,motion-pattern
3.53,0,3.53,init
6.79,3.53,10.32,stand
39.07,10.32,49.39,walk
5.38,49.39,54.77,down
13.93,54.77,68.7,walk
5.83,68.7,74.53,up
23.47,74.53,98,walk
